,sensorValue
1108,0.03360951537717449
1109,0.039434466549049585
1110,0.025673724361549466
1111,0.05238148803342457
1112,0.10190565795529949
1113,0.09416322631467455
1114,0.01276698608029947
1115,-0.05642344360720042
1116,-0.041671734622825474
1117,0.016126605220924572
1118,0.029363665767799585
1119,-0.006826763919700385
1120,-0.013819927982200442
1121,0.046975482174049565
1122,0.11048598022092437
1123,0.09869911498654949
1124,0.03414931029904955
1125,0.00743348998654958
1126,0.04375282592404961
1127,0.06724598998654963
1128,0.019083392330299542
1129,-0.048890484622825525
1130,-0.04416123657595028
1131,0.03611513061154947
1132,0.1039923278771746
1133,0.10763392943967443
1134,0.09044105834592453
1135,0.10055214233029952
1136,0.10603871459592451
1137,0.05287294311154955
1138,-0.030207135013450515
1139,-0.05584336548220037
1140,-0.0053523986853254435
1141,0.03813734740842456
1142,0.010744769283424604
1143,-0.04076133423220063
1144,-0.034017926029075385
1145,0.02573012084592463
1146,0.057005999752174574
1147,0.02671303100217437
1148,-0.0032818420447002783
1149,0.022016009517799473
1150,0.06138881225217463
1151,0.041086077877174665
1152,-0.02742759399782546
1153,-0.05685044556032537
1154,-0.00752769165407563
1155,0.05612782592404941
1156,0.06171107787717456
1157,0.03279579467404958
1158,0.04150502318967453
1159,0.08604213256467452
1160,0.08721034545529949
1161,0.014088275142799533
1162,-0.058792095950950474
1163,-0.05615757446657543
1164,-0.008389752200950396
1165,0.0013265563927995494
1166,-0.035371441654075575
1167,-0.04703745727907549
1168,-0.0029837463415753884
1169,0.03610707397092461
1170,0.016054095455299677
1171,-0.023705426029075438
1172,-0.006987896732200571
1173,0.06381386108029963
1174,0.1028724548302995
1175,0.059874163814674475
1176,-0.007785504154075529
1177,-0.017493756107200387
1178,0.020082415767799677
1179,0.022169085689674572
1180,-0.034767193607200486
1181,-0.07905454712282545
1182,-0.05924326782595046
1183,-0.02080503540407541
1184,-0.02445469360720054
1185,-0.04744028931032562
1186,-0.027894879154075625
1187,0.022886126705299548
1188,0.02751063842404955
1189,-0.034404644779075566
1190,-0.08590269165407549
1191,-0.06530991821657528
1192,-0.01654307251345033
1193,-0.01789658813845052
1194,-0.061273541263450415
1195,-0.06798472290407553
1196,-0.016317486575950335
1197,0.018841693111549374
